"#This table contains the distance to pathways and flow value of 500 cohorts of random points and archaeological sites. This table is used in the ""evaluation"" R script ",,,,,,,
rdm_distance_mean,rdm_flow_mean,sites_flow_mean,sites_distance_mean,cropland_flow_mean,cropland_distance_mean,non_cropland_flow_mean,non_cropland_distance_mean
21.56305602,19120544.54,,,,,,
23.16818378,26164761.56,,,,,,
20.46594821,8133697.152,,,,,,
20.85829902,10437155.27,,,,,,
21.17069921,20487345.29,,,,,,
21.09567999,15209228.15,,,,,,
20.68741082,14862108.94,,,,,,
20.91931029,2832444.709,,,,,,
21.87730619,17374737.53,,,,,,
21.79955803,5622694.149,,,,,,
21.34976178,20229918.31,,,,,,
22.07802907,22492075.02,,,,,,
19.7727693,4860521.944,,,,,,
20.3984088,6587912.001,,,,,,
20.64753949,13774324.69,,,,,,
21.01156556,22586855.61,,,,,,
21.24431567,17471794.4,,,,,,
20.6299008,13078618.56,,,,,,
21.11226777,13278629.94,,,,,,
22.48096758,20774843.51,,,,,,
21.52256565,7237736.526,,,,,,
21.60660266,11921806.66,,,,,,
20.19878682,18049220.05,,,,,,
22.83752742,30317506.39,,,,,,
21.61318783,12308826.36,,,,,,
21.64606447,3058849.343,,,,,,
22.30217821,8338438.891,,,,,,
21.22860672,8097965.39,,,,,,
22.40446372,13449662.28,,,,,,
22.48346475,4974905.658,,,,,,
21.24940556,18150330.44,,,,,,
21.20431911,17010346.43,,,,,,
22.03376568,16594482.81,,,,,,
21.40457033,16367467.27,,,,,,
22.26276923,5327804.503,,,,,,
20.89419837,13293034.08,,,,,,
20.43660322,3427796.559,,,,,,
22.40087383,15323986.99,,,,,,
21.78162159,5895789.019,,,,,,
21.30520315,4666358.051,,,,,,
21.53300669,4996298.869,,,,,,
21.00339471,18914049.56,,,,,,
21.46018759,5029562.926,,,,,,
20.3236932,28850967.07,,,,,,
21.67275125,41851638.96,,,,,,
21.51180272,10632384.6,,,,,,
20.15373668,14583989.76,,,,,,
22.27659355,31059257.12,,,,,,
20.95600603,2136029.393,,,,,,
21.56880929,14163781.33,,,,,,
21.86146576,14543431.95,,,,,,
20.80207742,19359235.55,,,,,,
21.89605317,12713075.58,,,,,,
22.35776641,8732739.413,,,,,,
20.75389545,14762724.82,,,,,,
21.61820897,29580918.03,,,,,,
22.19264676,18381939.75,,,,,,
21.66244265,21946686.68,,,,,,
21.06440384,18501783.46,,,,,,
20.97125807,16421445.72,,,,,,
21.70797445,16595073.35,,,,,,
21.51543939,18350900.08,,,,,,
21.17154078,18845222.9,,,,,,
21.69091555,9241451.059,,,,,,
22.14625576,12573842.72,,,,,,
20.94970269,14377875.83,,,,,,
19.96856737,8731828.017,,,,,,
22.0094518,9569556.347,,,,,,
21.19051206,16567424.3,,,,,,
20.32494809,11120438.71,,,,,,
21.04954184,26502197.62,,,,,,
22.29156319,22541959.24,,,,,,
21.29221417,13489418.19,,,,,,
21.08882489,23362705.23,,,,,,
21.99444172,20284090.93,,,,,,
22.26671802,16627136.28,,,,,,
21.32936168,18825052.74,,,,,,
21.73920042,19675353.48,,,,,,
21.64920943,12819404.56,,,,,,
21.22194147,27124791.54,,,,,,
22.77023588,16417301.18,,,,,,
21.02139841,9562264.672,,,,,,
20.52050082,12056622.29,,,,,,
22.17182644,30961444.34,,,,,,
21.12150943,13374796.41,,,,,,
21.3383796,8916738.723,,,,,,
21.02995498,21479819.37,,,,,,
20.747671,9848246.882,,,,,,
21.12173245,25150230.68,,,,,,
22.6819903,16726613.85,,,,,,
21.19884823,25133514.41,,,,,,
22.05853702,17599205.14,,,,,,
21.6634967,2854099.748,,,,,,
20.87181403,25601151.23,,,,,,
21.03024113,37613865.58,,,,,,
22.07133142,19240512.19,,,,,,
21.50335894,10783826.41,,,,,,
21.61721233,12802075.25,,,,,,
21.61071159,19447571.61,,,,,,
20.98803798,8428756.415,,,,,,
21.7732431,33757964.6,,,,,,
21.92087431,27567646.28,,,,,,
22.56434954,12678360.12,,,,,,
20.36793989,9018209.83,,,,,,
20.94370614,20451214.83,,,,,,
21.69960322,14981194.47,,,,,,
21.06094616,14916986.59,,,,,,
21.87123871,18328523.9,,,,,,
21.30855388,11672363.92,,,,,,
21.10987239,12089468.81,,,,,,
